rule_id|created|last_updated|parent_rule|child_rules|service_name
053-sqlalchemy-core|2025-09-04|2025-11-17||053.1-migration-patterns|
053.1-migration-patterns|2025-09-04|2025-11-17|053-sqlalchemy-core||
054-utility-markdown-mermaid-conversion|2025-09-01|2025-11-17|||
055-import-resolution-patterns|2025-06-29|2025-11-17|||
060-data-and-metadata-management|2025-05-25|2025-11-17|||
070-testing-and-quality-assurance|2025-05-25|2025-11-17||070.1-performance-testing-methodology|
070.1-performance-testing-methodology|2025-08-03|2025-11-17|070-testing-and-quality-assurance||
071-observability-index|2025-06-30|2025-11-17||071.1-observability-core-patterns,071.2-prometheus-metrics-patterns,071.3-jaeger-tracing-patterns,071.4-grafana-loki-patterns,071.5-llm-debugging-with-observability|
071.1-observability-core-patterns|2025-09-01|2025-11-17|071-observability-index||
071.2-prometheus-metrics-patterns|2025-09-01|2025-11-17|071-observability-index||
071.3-jaeger-tracing-patterns|2025-09-01|2025-11-17|071-observability-index||
071.4-grafana-loki-patterns|2025-09-01|2025-11-20|071-observability-index||
071.5-llm-debugging-with-observability|2025-11-21|2025-11-21|071-observability-index||
072-grafana-playbook-rules|2025-06-20|2025-11-17|||
073-health-endpoint-implementation|2025-07-07|2025-11-17|||
075-test-creation-methodology|2025-08-03|2025-11-17||075.1-parallel-test-creation-methodology|
075.1-parallel-test-creation-methodology|2025-08-21|2025-11-17|075-test-creation-methodology||
077-service-anti-patterns|2025-07-07|2025-11-17|||
080-repository-workflow-and-tooling|2025-05-25|2025-11-17|||
081-pdm-dependency-management|2025-05-25|2025-11-17|||
082-ruff-linting-standards|2025-05-25|2025-11-17|||
083-pdm-standards-2025|2025-05-25|2025-11-17|||
084-docker-containerization-standards|2025-05-30|2025-11-17||084.1-docker-compose-v2-command-reference|
084.1-docker-compose-v2-command-reference|2025-09-01|2025-11-17|084-docker-containerization-standards||
085-database-migration-standards|2025-07-14|2025-11-21|||
086-mypy-configuration-standards|2025-07-07|2025-11-22|||
087-docker-development-patterns|2025-09-04|2025-11-17|||
090-documentation-standards|2025-05-25|2025-11-21|||
095-textual-tui-patterns|2025-11-01|2025-11-17|||
100-terminology-and-definitions|2025-05-25|2025-11-17|||
110-ai-agent-interaction-modes|2025-05-25|2025-11-22||110.1-planning-mode,110.2-coding-mode,110.3-testing-mode,110.4-debugging-mode,110.5-refactoring-linting-mode,110.6-agentic-implementation-flow,110.7-task-creation-and-decomposition-methodology|
110.1-planning-mode|2025-05-25|2025-11-17|110-ai-agent-interaction-modes||
110.2-coding-mode|2025-05-25|2025-11-17|110-ai-agent-interaction-modes||
110.3-testing-mode|2025-05-25|2025-11-17|110-ai-agent-interaction-modes||
110.4-debugging-mode|2025-05-25|2025-11-17|110-ai-agent-interaction-modes||
110.5-refactoring-linting-mode|2025-05-25|2025-11-18|110-ai-agent-interaction-modes||
110.6-agentic-implementation-flow|2025-09-09|2025-11-17|110-ai-agent-interaction-modes||
110.7-task-creation-and-decomposition-methodology|2025-09-09|2025-11-17|110-ai-agent-interaction-modes||
111-cloud-vm-execution-standards|2025-11-10|2025-11-17|||
200-frontend-core-rules|2025-08-17|2025-11-17|||
201-frontend-development-utilities|2025-09-01|2025-11-17|||
210-frontend-dashboard-rules|2025-08-17|2025-11-17|||
999-rule-management|2025-05-25|2025-11-17|||
