rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type
Rater_09,89,E+,B2,essay_09,essay_04,anchor_anchor
Rater_10,110,JF24,SA24,essay_19,essay_22,student_student
Rater_11,35,TK24,D-,essay_24,essay_08,student_anchor
Rater_12,97,D+,B1,essay_07,essay_03,anchor_anchor
Rater_13,115,JP24,SA24,essay_20,essay_22,student_student
Rater_14,36,SA24,B1,essay_22,essay_03,student_anchor
Rater_01,114,E-,B2,essay_10,essay_04,anchor_anchor
Rater_02,117,HJ17,LW24,essay_16,essay_21,student_student
Rater_03,38,HJ17,C-,essay_16,essay_06,student_anchor
Rater_04,120,D-,A1,essay_08,essay_01,anchor_anchor
Rater_05,118,ER24,JA24,essay_12,essay_18,student_student
Rater_06,47,EK24,E+,essay_11,essay_09,student_anchor
Rater_07,129,F+2,D+,essay_15,essay_07,anchor_anchor
Rater_08,123,ES24,JF24,essay_13,essay_19,student_student
Rater_09,48,TK24,F+2,essay_24,essay_15,student_anchor
Rater_10,130,D-,B1,essay_08,essay_03,anchor_anchor
Rater_11,125,ER24,TK24,essay_12,essay_24,student_student
Rater_12,50,JP24,F+2,essay_20,essay_15,student_anchor
Rater_13,132,C+,A1,essay_05,essay_01,anchor_anchor
Rater_14,133,HJ17,JA24,essay_16,essay_18,student_student
Rater_01,53,II24,D-,essay_17,essay_08,student_anchor
Rater_02,136,E+,D+,essay_09,essay_07,anchor_anchor
Rater_03,134,LW24,TK24,essay_21,essay_24,student_student
Rater_04,55,TK24,A2,essay_24,essay_02,student_anchor
Rater_05,138,C-,A1,essay_06,essay_01,anchor_anchor
Rater_06,139,ER24,SN24,essay_12,essay_23,student_student
Rater_07,56,JP24,B2,essay_20,essay_04,student_anchor
Rater_08,57,SN24,C-,essay_23,essay_06,student_anchor
Rater_09,58,JA24,E+,essay_18,essay_09,student_anchor
Rater_10,59,LW24,C+,essay_21,essay_05,student_anchor
Rater_11,60,SA24,D+,essay_22,essay_07,student_anchor
Rater_12,66,HJ17,B1,essay_16,essay_03,student_anchor
Rater_13,68,TK24,C-,essay_24,essay_06,student_anchor
Rater_14,69,ER24,A1,essay_12,essay_01,student_anchor
Rater_02,70,JF24,B2,essay_19,essay_04,student_anchor
Rater_03,74,JA24,F+2,essay_18,essay_15,student_anchor
Rater_05,77,SA24,E+,essay_22,essay_09,student_anchor
Rater_06,78,JF24,C-,essay_19,essay_06,student_anchor
Rater_01,80,TK24,B2,essay_24,essay_04,student_anchor
Rater_04,81,LW24,A1,essay_21,essay_01,student_anchor
Rater_07,82,JP24,D+,essay_20,essay_07,student_anchor
Rater_08,84,II24,C+,essay_17,essay_05,student_anchor
Rater_09,86,SN24,D-,essay_23,essay_08,student_anchor
Rater_10,88,ES24,E-,essay_13,essay_10,student_anchor
Rater_11,90,HJ17,A2,essay_16,essay_02,student_anchor
Rater_12,92,II24,F+2,essay_17,essay_15,student_anchor
Rater_13,93,SN24,C+,essay_23,essay_05,student_anchor
Rater_14,95,JF24,D-,essay_19,essay_08,student_anchor
Rater_02,96,JA24,C-,essay_18,essay_06,student_anchor
Rater_03,98,JP24,A1,essay_20,essay_01,student_anchor
Rater_05,99,ER24,E-,essay_12,essay_10,student_anchor
Rater_06,100,LW24,D+,essay_21,essay_07,student_anchor
Rater_01,101,ES24,A1,essay_13,essay_01,student_anchor
Rater_04,102,EK24,D-,essay_11,essay_08,student_anchor
Rater_07,103,HJ17,E+,essay_16,essay_09,student_anchor
Rater_08,104,SN24,B2,essay_23,essay_04,student_anchor
Rater_09,105,JF24,F+2,essay_19,essay_15,student_anchor
Rater_10,106,JA24,C+,essay_18,essay_05,student_anchor
Rater_11,107,JP24,C-,essay_20,essay_06,student_anchor
Rater_12,108,II24,A2,essay_17,essay_02,student_anchor
Rater_13,109,ER24,B1,essay_12,essay_03,student_anchor
Rater_14,111,TK24,C+,essay_24,essay_05,student_anchor
Rater_02,112,ES24,D+,essay_13,essay_07,student_anchor
Rater_03,113,EK24,B1,essay_11,essay_03,student_anchor
Rater_05,116,II24,C-,essay_17,essay_06,student_anchor
Rater_06,119,SN24,F+2,essay_23,essay_15,student_anchor
Rater_01,121,TK24,E+,essay_24,essay_09,student_anchor
Rater_04,122,SA24,A2,essay_22,essay_02,student_anchor
Rater_07,124,JA24,B2,essay_18,essay_04,student_anchor
Rater_08,126,EK24,C-,essay_11,essay_06,student_anchor
Rater_09,127,JP24,E-,essay_20,essay_10,student_anchor
Rater_10,128,II24,E+,essay_17,essay_09,student_anchor
Rater_11,131,SN24,A2,essay_23,essay_02,student_anchor
Rater_12,135,JF24,C+,essay_19,essay_05,student_anchor
Rater_13,137,EK24,B2,essay_11,essay_04,student_anchor
Rater_14,140,JP24,D-,essay_20,essay_08,student_anchor
