rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type
Rater_05,58,F+2,E+,essay_15,essay_09,anchor_anchor
Rater_06,60,JA24,SN24,essay_18,essay_23,student_student
Rater_07,30,HJ17,C+,essay_16,essay_05,student_anchor
Rater_08,59,D-,C-,essay_08,essay_06,anchor_anchor
Rater_09,63,EK24,HJ17,essay_11,essay_16,student_student
Rater_10,35,JA24,E-,essay_18,essay_10,student_anchor
Rater_11,69,E-,D+,essay_10,essay_07,anchor_anchor
Rater_12,66,II24,JA24,essay_17,essay_18,student_student
Rater_13,36,ER24,E+,essay_12,essay_09,student_anchor
Rater_14,70,F+1,C+,essay_14,essay_05,anchor_anchor
Rater_01,67,ES24,LW24,essay_13,essay_21,student_student
Rater_02,37,LW24,F+2,essay_21,essay_15,student_anchor
Rater_03,71,F+2,B2,essay_15,essay_04,anchor_anchor
Rater_04,73,SN24,TK24,essay_23,essay_24,student_student
Rater_05,39,ES24,B2,essay_13,essay_04,student_anchor
Rater_06,75,B1,A2,essay_03,essay_02,anchor_anchor
Rater_07,76,HJ17,TK24,essay_16,essay_24,student_student
Rater_08,40,TK24,B1,essay_24,essay_03,student_anchor
Rater_09,78,F+1,B1,essay_14,essay_03,anchor_anchor
Rater_10,82,EK24,JF24,essay_11,essay_19,student_student
Rater_11,46,LW24,D-,essay_21,essay_08,student_anchor
Rater_12,83,F+2,C-,essay_15,essay_06,anchor_anchor
Rater_13,85,ER24,SA24,essay_12,essay_22,student_student
Rater_14,47,ES24,E+,essay_13,essay_09,student_anchor
Rater_01,90,E+,B1,essay_09,essay_03,anchor_anchor
Rater_02,95,JP24,LW24,essay_20,essay_21,student_student
Rater_03,49,JF24,A1,essay_19,essay_01,student_anchor
Rater_04,92,C+,B2,essay_05,essay_04,anchor_anchor
Rater_05,97,EK24,II24,essay_11,essay_17,student_student
Rater_06,51,EK24,D+,essay_11,essay_07,student_anchor
Rater_07,96,F+1,D-,essay_14,essay_08,anchor_anchor
Rater_08,98,JA24,JF24,essay_18,essay_19,student_student
Rater_09,55,SA24,E-,essay_22,essay_10,student_anchor
Rater_10,101,F+1,A2,essay_14,essay_02,anchor_anchor
Rater_11,103,ES24,SA24,essay_13,essay_22,student_student
Rater_12,61,II24,D+,essay_17,essay_07,student_anchor
Rater_13,107,F+2,C+,essay_15,essay_05,anchor_anchor
Rater_14,106,EK24,SN24,essay_11,essay_23,student_student
Rater_01,62,ES24,C+,essay_13,essay_05,student_anchor
Rater_02,110,E+,C-,essay_09,essay_06,anchor_anchor
Rater_03,109,JA24,JP24,essay_18,essay_20,student_student
Rater_04,64,JF24,B1,essay_19,essay_03,student_anchor
Rater_05,113,E+,A2,essay_09,essay_02,anchor_anchor
Rater_06,112,JF24,TK24,essay_19,essay_24,student_student
Rater_07,65,ER24,C-,essay_12,essay_06,student_anchor
Rater_08,114,D-,B2,essay_08,essay_04,anchor_anchor
Rater_09,120,HJ17,II24,essay_16,essay_17,student_student
Rater_10,68,EK24,A1,essay_11,essay_01,student_anchor
Rater_11,128,F+1,E+,essay_14,essay_09,anchor_anchor
Rater_12,127,HJ17,SN24,essay_16,essay_23,student_student
Rater_13,72,JP24,E+,essay_20,essay_09,student_anchor
Rater_14,133,F+1,B2,essay_14,essay_04,anchor_anchor
Rater_01,129,EK24,TK24,essay_11,essay_24,student_student
Rater_02,74,ER24,D-,essay_12,essay_08,student_anchor
Rater_03,134,D-,C+,essay_08,essay_05,anchor_anchor
Rater_04,130,ER24,ES24,essay_12,essay_13,student_student
Rater_05,77,SA24,B2,essay_22,essay_04,student_anchor
Rater_06,135,D+,A1,essay_07,essay_01,anchor_anchor
Rater_07,131,II24,SN24,essay_17,essay_23,student_student
Rater_08,79,ES24,D-,essay_13,essay_08,student_anchor
Rater_09,136,C-,A2,essay_06,essay_02,anchor_anchor
Rater_10,132,JF24,JP24,essay_19,essay_20,student_student
Rater_11,80,JP24,A2,essay_20,essay_02,student_anchor
Rater_12,81,HJ17,D+,essay_16,essay_07,student_anchor
Rater_14,84,JA24,A1,essay_18,essay_01,student_anchor
Rater_03,86,LW24,E+,essay_21,essay_09,student_anchor
Rater_06,87,II24,E-,essay_17,essay_10,student_anchor
Rater_09,88,ER24,C+,essay_12,essay_05,student_anchor
Rater_13,89,SN24,A1,essay_23,essay_01,student_anchor
Rater_01,91,ES24,C-,essay_13,essay_06,student_anchor
Rater_02,93,TK24,D+,essay_24,essay_07,student_anchor
Rater_04,94,HJ17,E-,essay_16,essay_10,student_anchor
Rater_05,99,SA24,F+2,essay_22,essay_15,student_anchor
Rater_07,100,SN24,E-,essay_23,essay_10,student_anchor
Rater_08,102,JF24,D+,essay_19,essay_07,student_anchor
Rater_10,104,LW24,B1,essay_21,essay_03,student_anchor
Rater_11,105,ER24,B2,essay_12,essay_04,student_anchor
Rater_12,108,HJ17,A1,essay_16,essay_01,student_anchor
Rater_14,111,II24,A1,essay_17,essay_01,student_anchor
Rater_03,115,JA24,B1,essay_18,essay_03,student_anchor
Rater_06,116,EK24,E-,essay_11,essay_10,student_anchor
Rater_09,117,ER24,F+2,essay_12,essay_15,student_anchor
Rater_13,118,LW24,C-,essay_21,essay_06,student_anchor
Rater_01,119,SA24,D-,essay_22,essay_08,student_anchor
Rater_02,121,ES24,F+2,essay_13,essay_15,student_anchor
Rater_04,122,JA24,D+,essay_18,essay_07,student_anchor
Rater_05,123,JP24,B1,essay_20,essay_03,student_anchor
Rater_07,124,LW24,A2,essay_21,essay_02,student_anchor
Rater_08,125,SA24,C+,essay_22,essay_05,student_anchor
Rater_10,126,TK24,E-,essay_24,essay_10,student_anchor
Rater_11,137,EK24,F+1,essay_11,essay_14,student_anchor
Rater_12,138,ER24,F+2,essay_12,essay_15,student_anchor
Rater_14,139,ES24,E-,essay_13,essay_10,student_anchor
Rater_13,140,HJ17,E+,essay_16,essay_09,student_anchor
