rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type,status
Jenny L,67,JA24,B2,JA24,SA1710,student_anchor,core
Jenny L,123,JA24,A2,JA24,SA1712,student_anchor,extra
Jenny L,124,II24,A2,II24,SA1712,student_anchor,extra
Jenny L,125,ES24,B2,ES24,SA1710,student_anchor,extra
Jenny L,126,JP24,C+,JP24,SA1708,student_anchor,extra
Jenny P,65,F+1,F+2,SA1701,SA1702,anchor_anchor,core
Jenny P,66,JP24,F+2,JP24,SA1702,student_anchor,core
Jenny P,69,ES24,C+,ES24,SA1708,student_anchor,core
Jenny P,70,EK24,C-,EK24,SA1707,student_anchor,core
Jenny P,71,ER24,C-,ER24,SA1707,student_anchor,core
Jenny P,72,TK24,D+,TK24,SA1706,student_anchor,core
Jenny P,92,B2,A1,SA1710,SA1711,anchor_anchor,extra
Jenny P,131,C+,B2,SA1708,SA1710,anchor_anchor,extra
Jenny P,132,B1,B2,SA1709,SA1710,anchor_anchor,extra
Jenny P,133,ES24,B2,ES24,SA1710,student_anchor,extra
Lena R,1,JA24,A1,JA24,SA1711,student_anchor,core
Lena R,4,II24,B2,II24,SA1710,student_anchor,core
Lena R,7,ES24,C+,ES24,SA1708,student_anchor,core
Lena R,13,JA24,II24,JA24,II24,student_student,core
Lena R,17,A1,A2,SA1711,SA1712,anchor_anchor,core
Lena R,23,TK24,C-,TK24,SA1707,student_anchor,core
Lena R,95,JA24,C+,JA24,SA1708,student_anchor,extra
Lena R,96,II24,B1,II24,SA1709,student_anchor,extra
Lena R,97,ES24,A1,ES24,SA1711,student_anchor,extra
Lena R,98,ER24,B2,ER24,SA1710,student_anchor,extra
Marcus D,12,EK24,B2,EK24,SA1710,student_anchor,core
Marcus D,21,ER24,C+,ER24,SA1708,student_anchor,core
Marcus D,22,ER24,D+,ER24,SA1706,student_anchor,core
Marcus D,25,TK24,C+,TK24,SA1708,student_anchor,core
Marcus D,27,SN24,D+,SN24,SA1706,student_anchor,core
Marcus D,35,LW24,D+,LW24,SA1706,student_anchor,core
Marcus D,90,JP24,B1,JP24,SA1709,student_anchor,extra
Marcus D,107,HJ17,B1,HJ17,SA1709,student_anchor,extra
Marcus D,108,LW24,B1,LW24,SA1709,student_anchor,extra
Marcus D,109,JF24,B1,JF24,SA1709,student_anchor,extra
Mats A,73,SN24,D+,SN24,SA1706,student_anchor,core
Mats A,74,HJ17,D-,HJ17,SA1705,student_anchor,core
Mats A,75,SA24,D-,SA24,SA1705,student_anchor,core
Mats A,76,LW24,D-,LW24,SA1705,student_anchor,core
Mats A,79,C+,B1,SA1708,SA1709,anchor_anchor,core
Mats A,80,B1,B2,SA1709,SA1710,anchor_anchor,core
Mats A,93,D+,C-,SA1706,SA1707,anchor_anchor,extra
Mats A,134,D+,C+,SA1706,SA1708,anchor_anchor,extra
Mats A,135,SN24,B2,SN24,SA1710,student_anchor,extra
Mats A,136,HJ17,B2,HJ17,SA1710,student_anchor,extra
Robin S,77,JF24,E+,JF24,SA1704,student_anchor,core
Robin S,78,JP24,E-,JP24,SA1703,student_anchor,core
Robin S,81,B2,A2,SA1710,SA1712,anchor_anchor,core
Robin S,82,ER24,B1,ER24,SA1709,student_anchor,core
Robin S,83,JA24,A2,JA24,SA1712,student_anchor,core
Robin S,84,JP24,F+1,JP24,SA1701,student_anchor,core
Robin S,137,JA24,B1,JA24,SA1709,student_anchor,extra
Robin S,138,JP24,B2,JP24,SA1710,student_anchor,extra
Robin S,139,ER24,A2,ER24,SA1712,student_anchor,extra
Robin S,140,B1,A2,SA1709,SA1712,anchor_anchor,extra
Sophie O,28,SN24,C+,SN24,SA1708,student_anchor,core
Sophie O,30,HJ17,D-,HJ17,SA1705,student_anchor,core
Sophie O,31,HJ17,C-,HJ17,SA1707,student_anchor,core
Sophie O,33,SA24,D-,SA24,SA1705,student_anchor,core
Sophie O,34,SA24,C-,SA24,SA1707,student_anchor,core
Sophie O,38,JF24,D+,JF24,SA1706,student_anchor,core
Sophie O,89,SN24,B2,SN24,SA1710,student_anchor,extra
Sophie O,110,SA24,B2,SA24,SA1710,student_anchor,extra
Sophie O,111,HJ17,B2,HJ17,SA1710,student_anchor,extra
Sophie O,112,JF24,C+,JF24,SA1708,student_anchor,extra
Ullis,3,JA24,A2,JA24,SA1712,student_anchor,core
Ullis,6,II24,A1,II24,SA1711,student_anchor,core
Ullis,9,ES24,C-,ES24,SA1707,student_anchor,core
Ullis,15,II24,ES24,II24,ES24,student_student,core
Ullis,19,C+,B2,SA1708,SA1710,anchor_anchor,core
Ullis,29,HJ17,D+,HJ17,SA1706,student_anchor,core
Ullis,101,JA24,C-,JA24,SA1707,student_anchor,extra
Ullis,102,II24,B2,II24,SA1710,student_anchor,extra
Ullis,103,ES24,A2,ES24,SA1712,student_anchor,extra
Ullis,104,SN24,B2,SN24,SA1710,student_anchor,extra
Yvonne R,36,LW24,D-,LW24,SA1705,student_anchor,core
Yvonne R,37,LW24,C-,LW24,SA1707,student_anchor,core
Yvonne R,39,JF24,D-,JF24,SA1705,student_anchor,core
Yvonne R,40,JF24,E+,JF24,SA1704,student_anchor,core
Yvonne R,41,ER24,TK24,ER24,TK24,student_student,core
Yvonne R,47,C-,D+,SA1707,SA1706,anchor_anchor,core
Yvonne R,113,LW24,C+,LW24,SA1708,student_anchor,extra
Yvonne R,114,JF24,C+,JF24,SA1708,student_anchor,extra
Yvonne R,115,ER24,A1,ER24,SA1711,student_anchor,extra
Yvonne R,116,TK24,A1,TK24,SA1711,student_anchor,extra
